Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
77343,96357,123983,-12442
76840,88842,124510,-8015
74160,70310,128526,2235
76494,68750,135288,3413
78540,68552,140950,3833
79295,66605,144369,4357
75693,53867,121529,11100
78153,86861,114465,-551
61446,38204,142820,4995
58701,27783,152303,3936
60507,25913,161473,677
60925,26519,172111,-3740
57475,85813,147629,2394
57270,83584,156538,939
60208,85670,163158,-1501
63761,88455,169749,-4697
79760,113330,148298,-17558
79786,110472,137784,-15234
79452,105220,130648,-11699
79064,98092,125340,-7346
78788,90354,125870,-3906
78015,70435,128749,1277
79921,68841,135865,2107
81609,68747,141979,2401
82252,67072,145832,2809
80752,56570,135128,6204
79725,55233,122577,7955
78126,55030,109734,9179
75920,56708,97340,8387
68253,36179,144493,2985
64879,25839,154167,1858
66107,23977,163437,-1335
66233,24531,174111,-5880
60349,93087,143825,6594
60685,86461,151019,6247
60526,83876,160600,4751
63501,85779,167833,2567
81951,114345,152097,-9384
82143,111249,140805,-7570
82032,105770,132866,-4804
84486,68114,136362,1623
85869,68179,142993,1416
85702,57532,137252,2215
84960,56144,124304,3061
83724,55804,111000,3666
82012,57424,98082,3096
71544,24418,155522,246
72203,22607,164835,-2805
72020,23132,175514,-7306
71900,54162,146206,-4635
65252,86352,155390,11634
65342,83326,165458,9938
68575,84941,173055,7637
86555,113847,155971,-2848
86842,110548,143898,-1829
93047,58053,139221,-2552
92490,56666,126048,-2403
91506,56240,112464,-2226
78945,23593,156301,-858
78965,21871,165593,-3798
78364,22406,176238,-8228
79293,54065,146807,-9022
76767,52325,146079,-4555
72094,81972,171214,15350
101479,57619,140801,-7300
100902,56316,127600,-7793
99966,55910,113960,-7982
86948,21868,165596,-4511
85967,22497,176141,-8849
88950,55474,145526,-12886
86674,53844,144512,-8233
112373,56595,140599,-12056
111549,55425,127489,-13110
110483,55135,113937,-13565
109469,56951,100513,-12831
95290,22456,165000,-5251
93950,23222,175414,-9482
99096,57578,143442,-16582
97116,56094,142234,-11859
95756,53138,140198,-8409
114489,78647,129041,7521
125484,60712,124152,-5814
125832,59676,132612,-7616
126092,60528,140584,-9436
123212,55102,139702,-15252
122097,54075,126725,-16349
120876,53932,113314,-16633
119940,55896,100038,-15299
101909,24359,174283,-10233
109110,60068,140986,-20496
107412,58728,139652,-16034
106358,55912,137532,-12805
101176,84960,169704,27439
101502,80500,179916,25747
121259,100555,185403,14836
121356,83548,129926,8659
121730,74568,128428,7139
122628,65680,131048,5183
123794,57860,136954,3005
135575,57921,121901,-8092
135643,57045,130515,-10158
135616,58054,138644,-11893
134988,57962,144538,-13056
129895,52511,125675,-18024
128530,52514,112408,-18004
118725,62779,138323,-24819
117192,61586,136920,-21118
116327,58917,134809,-18586
115906,52660,132886,-19530
108932,93482,163240,27036
108882,84868,171396,26917
108798,80104,181620,25612
112557,80117,188993,23499
126956,94894,196918,18618
126647,98363,186533,17953
125845,101043,176033,16983
125975,79867,129535,10195
126348,70590,127744,8322
127279,61451,130107,6281
128517,53449,135795,4321
143202,55038,119354,-8612
142993,54317,128117,-10905
142699,55481,136407,-12537
141866,55542,142452,-13619
125968,64624,134148,-26253
